"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","fact_first","json","test_set_2",0.09,0.91,0.02,66,86,100,9,0.26,25,2,0,0.07,0,0,0.07,0,0,12,7,79
"llama3","seed_989","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","answer_first","json","test_set_1",0.45,0.55,0.42,0,10,99,45,0.45,55,42,0.43,0.29,0.54,0.47,0.5,0.62,0.19,47,3,7
"llama2","seed_989","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","answer_first","json","test_set_1",0.41,0.59,0.36,0,11,99,41,0.41,59,36,0.43,0.36,0.38,0.2,0.36,0.31,0.5,52,5,6
"llama3","seed_989","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","answer_first","json","test_set_1",0.47,0.53,0.41,0,12,99,47,0.47,53,41,0.5,0.21,0.54,0.47,0.36,0.46,0.38,46,6,6
"llama2","seed_989","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","answer_first","json","test_set_1",0.31,0.69,0.27,0,12,99,31,0.31,69,27,0.21,0.43,0.31,0.07,0.21,0.46,0.25,60,4,8
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","structured","fact_first","json","test_set_1",0.56,0.44,0.48,0,10,99,55,0.55,45,48,0.71,0.43,0.62,0.33,0.5,0.54,0.31,41,7,3
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","fact_first","json","test_set_1",0.32,0.68,0.3,2,11,99,32,0.33,66,30,0.29,0.21,0.46,0.33,0.29,0.23,0.31,58,2,9
"llama3","seed_989","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","fact_first","json","test_set_1",0.53,0.47,0.51,6,6,99,52,0.55,42,50,0.5,0.43,0.77,0.6,0.5,0.38,0.38,43,2,4
"llama2","seed_989","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","fact_first","json","test_set_1",0.41,0.59,0.38,2,12,99,41,0.42,57,38,0.21,0.57,0.54,0.2,0.5,0.38,0.31,49,3,9
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","fact_first","json","test_set_1",0.48,0.52,0.46,2,7,99,48,0.49,50,46,0.64,0.36,0.54,0.53,0.43,0.46,0.31,46,2,5
