"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_06","few_shot","unstructured","answer_first","json","test_set_1",0.31,0.69,0.19,0,36,99,31,0.31,69,19,0.29,0.21,0.15,0.13,0.14,0.38,0.06,44,12,24
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","answer_first","json","test_set_1",0.35,0.65,0.18,0,44,99,35,0.35,65,18,0.29,0.14,0.15,0.13,0.07,0.31,0.19,37,17,27
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","answer_first","json","test_set_2",0.28,0.72,0,2,100,100,28,0.29,70,0,0,0,0,0,0,0,0,0,28,72
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_025","few_shot","structured","answer_first","json","test_set_2",0.26,0.74,0.2,11,25,100,26,0.29,63,20,0.14,0.33,0.36,0.2,0.07,0,0.31,55,6,19
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","answer_first","json","test_set_2",0.52,0.48,0.15,0,62,100,52,0.52,48,15,0.14,0,0.14,0.27,0.13,0.21,0.15,23,37,25
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","fact_first","json","test_set_1",0.28,0.72,0.12,27,45,99,28,0.38,45,12,0,0.07,0.38,0.07,0.07,0.23,0.06,42,16,29
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","fact_first","json","test_set_2",0.54,0.46,0.36,0,33,100,54,0.54,46,36,0.64,0,0.36,0.47,0.4,0.43,0.23,31,18,15
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","fact_first","json","test_set_2",0.15,0.85,0,50,100,100,15,0.3,35,0,0,0,0,0,0,0,0,0,15,85
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","fact_first","json","test_set_1",0.16,0.84,0.12,65,30,99,16,0.46,19,12,0.14,0.07,0.23,0,0.14,0.23,0.06,57,4,26
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","fact_first","json","test_set_2",0.39,0.61,0,23,100,100,39,0.51,38,0,0,0,0,0,0,0,0,0,39,61
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","fact_first","json","test_set_2",0.21,0.79,0.02,17,88,100,21,0.25,62,2,0.07,0,0,0,0,0.07,0,10,19,69
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","answer_first","json","test_set_2",0.28,0.72,0.06,10,82,100,28,0.31,62,6,0,0.07,0,0.07,0.13,0.14,0,12,22,60
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","answer_first","json","test_set_2",0.26,0.74,0,2,100,100,26,0.27,72,0,0,0,0,0,0,0,0,0,26,74
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","fact_first","json","test_set_2",0.62,0.38,0.34,0,41,100,62,0.62,38,34,0.57,0.07,0.21,0.33,0.27,0.5,0.46,25,28,13
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","fact_first","json","test_set_2",0.37,0.63,0,37,100,100,37,0.59,26,0,0,0,0,0,0,0,0,0,37,63
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","fact_first","json","test_set_2",0.08,0.92,0.04,64,66,100,8,0.22,28,4,0.07,0.07,0,0.07,0,0,0.08,30,4,62
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","json","test_set_2",0.31,0.69,0.19,0,28,100,31,0.31,69,19,0.36,0.4,0.29,0.2,0,0.07,0,53,12,16
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_06","few_shot","structured","answer_first","json","test_set_1",0.31,0.69,0.11,0,53,99,31,0.31,69,11,0.21,0,0.31,0,0.07,0.08,0.13,35,20,33
"llama2","seed_206","trained","all_domains_10_samples",10,"temp_06","few_shot","structured","answer_first","json","test_set_2",0.28,0.72,0.24,13,28,100,28,0.32,59,24,0.29,0.4,0.43,0.27,0,0.07,0.23,48,4,24
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_06","few_shot","structured","fact_first","json","test_set_1",0.25,0.75,0.1,12,53,99,25,0.28,63,10,0,0,0.23,0.07,0.14,0.15,0.13,36,15,38
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","fact_first","json","test_set_2",0.52,0.48,0.36,1,35,100,52,0.53,47,36,0.57,0,0.21,0.53,0.33,0.43,0.46,29,16,19
"llama2","seed_989","trained","all_domains_1_samples",1,"temp_06","few_shot","unstructured","fact_first","json","test_set_1",0.21,0.79,0.15,31,32,99,21,0.3,48,15,0.21,0.14,0.23,0.13,0.07,0.08,0.19,52,6,26
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","answer_first","json","test_set_2",0.23,0.77,0,14,100,100,23,0.27,63,0,0,0,0,0,0,0,0,0,23,77
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","answer_first","json","test_set_2",0.21,0.79,0.05,2,80,100,21,0.21,77,5,0,0.2,0.07,0,0,0,0.08,15,16,64
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","fact_first","json","test_set_2",0.15,0.85,0,40,100,100,15,0.25,45,0,0,0,0,0,0,0,0,0,15,85
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_06","few_shot","structured","fact_first","json","test_set_2",0.59,0.41,0.31,0,45,100,59,0.59,41,31,0.71,0.07,0.21,0.4,0.13,0.36,0.31,24,28,17
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","fact_first","json","test_set_2",0.16,0.84,0,50,100,100,16,0.32,34,0,0,0,0,0,0,0,0,0,16,84
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","unstructured","answer_first","json","test_set_2",0.22,0.78,0,16,100,100,22,0.26,62,0,0,0,0,0,0,0,0,0,22,78
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","fact_first","json","test_set_2",0.22,0.78,0.03,31,84,100,22,0.32,47,3,0,0.13,0,0.07,0,0,0,13,19,65
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","json","test_set_2",0.31,0.69,0.2,0,30,100,31,0.31,69,20,0.36,0.47,0.21,0.07,0,0.07,0.23,50,11,19
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","json","test_set_2",0.3,0.7,0,5,99,100,30,0.32,65,0,0,0,0,0,0,0,0,1,30,69
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","answer_first","json","test_set_1",0.32,0.68,0.16,0,49,99,32,0.32,68,16,0.14,0.21,0.15,0.13,0.07,0.31,0.13,34,16,33
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","answer_first","json","test_set_1",0.45,0.55,0.42,0,10,99,45,0.45,55,42,0.43,0.29,0.54,0.47,0.5,0.62,0.19,47,3,7
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","answer_first","json","test_set_1",0.39,0.61,0.34,0,11,99,39,0.39,61,34,0.36,0.29,0.38,0.2,0.36,0.38,0.44,54,5,6
"llama2","seed_989","trained","all_domains_10_samples",10,"greedy","few_shot","structured","answer_first","json","test_set_2",0.28,0.72,0.22,13,26,100,28,0.32,59,22,0.21,0.4,0.29,0.33,0,0.07,0.23,52,6,20
"llama2","seed_989","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","fact_first","json","test_set_1",0.3,0.7,0.16,25,53,99,30,0.4,45,16,0,0.14,0.38,0.07,0.14,0.38,0.06,30,14,39
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","answer_first","json","test_set_1",0.52,0.48,0.48,0,7,99,51,0.51,49,48,0.57,0.43,0.62,0.4,0.43,0.46,0.5,44,3,4
